Sorszám;Pénznem;Árfolyam;Ügyfél kód;Ügyfél Név;Irányítószám;Város;Utca;Adószám;Fizetési mód;Kelt;Teljesítés;Esedékesség;Terméknév;Mennyiség;Mennyiségi egység;Egységár;Megjegyzés;Áfa kulcs;Munkaszám;Részlegszám;Számla megjegyzés;TERMEKKOD;Bizonylatszám;Elszámoló időszak  záró dátuma;Áfa árfolyam;Termék megjelenített név;Kedvezmény;Ország;Közterület;Ajtó;Épület;Emelet;Lépcsőház;Házszám;Magánszemély;Magyar illetőség;Adóalanynak nem minősülő gazdasági szervezet;Köz. kívüli adósz.;EU adószám 
22;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.22;2026.07.22;;PRZEGUB FIAT ZEW. PUNTO 1,2;1;db;6300;;27%;;;;99-25-1296MG;MPX/2026/07/022;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
23;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.23;2026.07.23;;FEKBETET TOYOTA T. VERSO 09-;1;db;22440;;27%;;;;19-3006;MPX/2026/07/023;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
23;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.23;2026.07.23;;MUNKAHENGER, KUPLUNG;2;db;33390;;27%;;;;ADM53612;MPX/2026/07/023;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
23;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.23;2026.07.23;;SZELEPFEDÉL;1;db;38380;;27%;;;;28-0754;MPX/2026/07/023;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
23;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.23;2026.07.23;;SZÍVÓCSŐ, LÉGSZŰRŐ;1;db;32280;;27%;;;;IMP224252;MPX/2026/07/023;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
24;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.24;2026.07.24;;HOSSZBORDÁS SZÍJ;2;db;14920;;27%;;;;GAT6PK1198;MPX/2026/07/024;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
24;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.24;2026.07.24;;TÖRLŐLAPÁT;1;db;24170;;27%;;;;VAL577934;MPX/2026/07/024;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
24;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.24;2026.07.24;;ŚRUBY RENAULT GŁOWICY 2,2DCI;2;db;19670;;27%;;;;14-32231-01;MPX/2026/07/024;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
24;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.24;2026.07.24;;KEREKCSAPAGY DB P. W202/210;3;db;22690;;27%;;;;93-2124/MG;MPX/2026/07/024;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
24;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.24;2026.07.24;;ADÓHENGER, KUPLUNG;1;db;26150;;27%;;;;PNB950;MPX/2026/07/024;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
25;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.25;2026.07.25;;CSAPÁGY, CSUKLÓS TENGELY;1;db;16470;;27%;;;;TED37336;MPX/2026/07/025;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
25;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.25;2026.07.25;;VIZSZIVATTYU VW 1,2TDI-1,9TDI;2;db;15210;;27%;;;;045121011H;MPX/2026/07/025;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
25;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.25;2026.07.25;;PASEK WIELOKLINOWY 6PK1054;1;db;6030;;27%;;;;6PK1054;MPX/2026/07/025;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
26;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.26;2026.07.26;;MUNKAHENGER, KUPLUNG 6283 654;1;db;17490;;27%;;;;013;MPX/2026/07/026;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
26;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.26;2026.07.26;;FEKBETET DB P. SPRINTER 06-;1;db;24100;;27%;;;;GDB1698;MPX/2026/07/026;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
26;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.26;2026.07.26;;CZUJNIK TEMP. WODY VW;1;db;13000;;27%;;;;A4/A6/PA05C919501;MPX/2026/07/026;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
26;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.26;2026.07.26;;FEKBETET SUZUKI P. SAMURAI;1;db;24290;;27%;;;;19-1994;MPX/2026/07/026;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
27;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.27;2026.07.27;;RÚD/KAR, STABILIZÁTOR;1;db;28500;;27%;;;;28-160600047/HD;MPX/2026/07/027;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
27;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.27;2026.07.27;;SZELEPFEDÉL;2;db;8330;;27%;;;;28-0481;MPX/2026/07/027;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
27;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.27;2026.07.27;;HAJTÓTENGELY;1;db;35240;;27%;;;;16-144980059;MPX/2026/07/027;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
27;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.27;2026.07.27;;TÁMCSAPÁGY, GÓLYALÁB;2;db;10400;;27%;;;;72-4536;MPX/2026/07/027;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
27;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.27;2026.07.27;;ABLAKTORLO LAPAT 280MM;1;db;40140;;27%;;;;VAL574106;MPX/2026/07/027;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
28;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.28;2026.07.28;;MOTOR SZILENTBLOK FIAT PUNTO;3;db;11700;;27%;;;;40-0322;MPX/2026/07/028;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
28;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.28;2026.07.28;;AGR-SZELEP;2;db;17590;;27%;;;;7.10334.02.0;MPX/2026/07/028;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
28;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.28;2026.07.28;;VEZETŐKAR FEJ;2;db;1370;;27%;;;;7160200048;MPX/2026/07/028;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
29;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.29;2026.07.29;;FOGASSZÍJ;1;db;3510;;27%;;;;GAT5661XS;MPX/2026/07/029;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
29;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.29;2026.07.29;;HUZAL, RÖGZÍTŐFÉK;1;db;5780;;27%;;;;32-1023;MPX/2026/07/029;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
29;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.29;2026.07.29;;TÁMASZTÓ-/VEZETŐCSUKLÓ;1;db;29960;;27%;;;;FE23246;MPX/2026/07/029;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
29;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.29;2026.07.29;;REGULATOR ALTERNATORA TRANSPO;1;db;18180;;27%;;;;WM570;MPX/2026/07/029;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
30;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.30;2026.07.30;;FEKTARCSA SUZUKI P. BALENO;1;db;22020;;27%;;;;19-2533;MPX/2026/07/030;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
30;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.30;2026.07.30;;ONINDITO;1;db;38500;;27%;;;;S4017;MPX/2026/07/030;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
30;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.30;2026.07.30;;VÍZPUMPA + FOGASSZÍJ KÉSZLET;3;db;31140;;27%;;;;530018231;MPX/2026/07/030;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
30;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.30;2026.07.30;;HAJTÓTENGELY;1;db;35240;;27%;;;;16-144980059;MPX/2026/07/030;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
30;HUF;1;MPX001;MOTORPART X POLSKA Sp. z o.o.;40-001;Katowice;Przemysłowa;;Banki átutalás;2026.07.30;2026.07.30;;SZÍJTÁRCSA, FŐTENGELY;2;db;29420;;27%;;;;VD1220EXTRA;MPX/2026/07/030;;;;;Lengyelország;ul.;;;;;18;0;0;0;;
